Year,Country,code,ISCED11,AVG
2012,Greece,EL,5-8,22,85
2012,Spain,ES,0-2,46,4
2012,Spain,ES,3-4,23,6
2012,Spain,ES,5-8,30,0
2012,France,FR,0-2,30,35
2012,France,FR,3-4,41,9
2012,France,FR,5-8,27,7
2012,Croatia,HR,0-2,23,15
2012,Croatia,HR,3-4,61,1
2012,Croatia,HR,5-8,15,75
2012,Italy,IT,0-2,44,25
2012,Italy,IT,3-4,41,85
2012,Italy,IT,5-8,13,85
2012,Cyprus,CY,0-2,26,4
2012,Cyprus,CY,3-4,38,75
2012,Cyprus,CY,5-8,34,85
2012,Liatvia,LV,0-2,17,6
2012,Liatvia,LV,3-4,57,55
2012,Liatvia,LV,5-8,24,85
2012,Lithuania,LT,0-2,15,05
2012,Lithuania,LT,3-4,56,5
2012,Lithuania,LT,5-8,28,4
2012,Luxembourg,LU,0-2,28,4
2012,Luxembourg,LU,3-4,38,25
2012,Luxembourg,LU,5-8,33,35
2012,Hungary,HU,0-2,23,45
2012,Hungary,HU,3-4,57,6
2012,Hungary,HU,5-8,18,95
2012,Malta,MT,0-2,56,9
2012,Malta,MT,3-4,26,5
2012,Malta,MT,5-8,16,55
2012,Netherland,0-2,30,75
2012,Netherland,3-4,40,65
2012,Netherland,5-8,28,6
2012,Austria,AT,0-2,22,35
2012,Austria,AT,3-4,60,75
2012,Austria,AT,5-8,16,9
2012,Poland,PL,0-2,16,7
2012,Poland,PL,3-4,61,8
2012,Poland,PL,5-8,21,45
2012,Portugal,PT,0-2,61,7
2012,Portugal,PT,3-4,21,65
2012,Portugal,PT,5-8,16,7
2012,Romania,RO,0-2,29,25
2012,Romania,RO,3-4,57,25
2012,Romania,RO,5-8,13,5
2012,Slovenia,SI,0-2,19,1
2012,Slovenia,SI,3-4,57,85
2012,Slovenia,SI,5-8,23,1
2012,Slovakia,SK,0-2,15,0
2012,Slovakia,SK,3-4,68,05
2012,Slovakia,SK,5-8,17,0
2012,Finland,Fi,0-2,21,8
2012,Finland,Fi,3-4,45,35
2012,Finland,Fi,5-8,32,85
2012,Sweden,SE,0-2,23,8
2012,Sweden,SE,3-4,46,0
2012,Sweden,SE,5-8,30,15
2012,Switzerlan,0-2,20,45
2012,Switzerlan,3-4,49,55
2012,Switzerlan,5-8,30,05
2013,Belgium,BE,0-2,30,4
2013,Belgium,BE,3-4,38,1
2013,Belgium,BE,5-8,31,55
2013,Bulgaria,BG,0-2,22,1
2013,Bulgaria,BG,3-4,55,7
2013,Bulgaria,BG,5-8,22,2
2013,Czechia,CZ,0-2,12,9
2013,Czechia,CZ,3-4,68,95
2013,Czechia,CZ,5-8,18,15
2013,Denmark,DK,0-2,29,85
2013,Denmark,DK,3-4,41,15
2013,Denmark,DK,5-8,29,0
2013,Germany,DE,0-2,17,65
2013,Germany,DE,3-4,57,1
2013,Germany,DE,5-8,25,2
2013,Estonia,EE,0-2,15,9
2013,Estonia,EE,3-4,52,0
2013,Estonia,EE,5-8,32,05
2013,Ireland,IE,0-2,26,65
2013,Ireland,IE,3-4,36,1
2013,Ireland,IE,5-8,37,3
2013,Greece,EL,0-2,34,55
2013,Greece,EL,3-4,41,45
2013,Greece,EL,5-8,24,05
2013,Spain,ES,0-2,45,6
2013,Spain,ES,3-4,23,45
2013,Spain,ES,5-8,30,95
2013,France,FR,0-2,28,0
2013,France,FR,3-4,43,2
2013,France,FR,5-8,28,85
2013,Croatia,HR,0-2,22,4
2013,Croatia,HR,3-4,60,55
2013,Croatia,HR,5-8,17,05
2013,Italy,IT,0-2,43,4
2013,Italy,IT,3-4,42,15
2013,Italy,IT,5-8,14,4
2013,Cyprus,CY,0-2,25,45
2013,Cyprus,CY,3-4,39,35
2013,Cyprus,CY,5-8,35,2
2013,Liatvia,LV,0-2,16,75
2013,Liatvia,LV,3-4,56,55
2013,Liatvia,LV,5-8,26,7
2013,Lithuania,LT,0-2,14,45
2013,Lithuania,LT,3-4,55,95
2013,Lithuania,LT,5-8,29,6
2013,Luxembourg,LU,0-2,26,2
2013,Luxembourg,LU,3-4,38,6
2013,Luxembourg,LU,5-8,35,2
2013,Hungary,HU,0-2,22,75
2013,Hungary,HU,3-4,57,85
